"","X","course","chapter","sequential","vertical","terminal","seq","ver"
"26",25,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@252811f3fd564e928474451d8d7a6e54","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@f48ec919c4034c898c6835788cdd6720","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@47dcdf0c5bc14f81bcc6df9b7806c60b",7,2
"27",26,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@4e212e4f39e74b40ac9c1e1f36476d0a","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@4d012ef5c4674b8c9802e926ef4b781b","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@8e4318e7a0864c43bf49beaba6d8611b",8,1
"28",27,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@984fab140ea8472894da623f05f7fddc","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@510ee29b350445ba82e12dbd1825157b","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@45813f72cb774c77a81f2680665ee027",12,1
"29",28,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@522779a5d08b4dcc9a3ffae79b398f88","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@1b8a48d19d534af3bd87bc337d5aca69","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@d0931bd8dae94b93ab40273ea5ab82fc",6,1
"30",29,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@3876953ce32e446bbd12a14bb87d8869","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@c35d47e5fe304df3bcdd0f63a5fbb58f","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@a034e1e943ab4b7cbc8350eb28c7847f",5,2
"31",30,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@075891b9caaa4002b62d7965b74728c4","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@10ca973930244d96b96c3cff66c6eb8f","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@b5d0968a75924c249ef9ad0d83761257",7,1
"32",31,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@ec9952dc74644121a7eaa0626f67f6bb","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@a7ff21cb24384adb8759c1ed27146aa4","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@3777a601c3e54f8b9170d8efee1e27d9",4,1
"33",32,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@522779a5d08b4dcc9a3ffae79b398f88","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@a549f324319d46d7b2deb7d885f42cd9","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@76b34007c05446298bef8cabc2d0e534",6,2
"34",33,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@2498cd0969f94186b8a3dac31ba1b07a","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@6016cb2e777b416892db207c2bf1ee8c","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@a5a629aaf6774450a0cccf3e53426389",4,3
"35",34,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@2498cd0969f94186b8a3dac31ba1b07a","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@6016cb2e777b416892db207c2bf1ee8c","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@93e255d9b06847099cc72111d5718702",4,3
"36",35,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@518c66d1603343168d1589a093e12143","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@bf23de9f616843eebe0c16364447021a","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@e88cf4b3296047bbb8d1b901693c100c",6,1
"37",36,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@4e212e4f39e74b40ac9c1e1f36476d0a","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@31c39dd685634b48a6431f43740afb84","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@de043390a74b4c92a3ad2b25f31f10eb",8,3
"38",37,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@4e212e4f39e74b40ac9c1e1f36476d0a","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@31c39dd685634b48a6431f43740afb84","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@055c771187954d1b95d9550fec41b65c",8,3
"39",38,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@5bc255b8fbc044beb2466d260a9a8166","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@47bc8d58d64547aeaf557d9560bc01fa","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@abf34c8a0e5d4d2ba01aaae2cbb130ab",1,1
"40",39,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@5b16d9f7807944fba9447068491a6bf5","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@f9a2555207624081b4deb0a50de7a0f1","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@0b3e46148e874b47be0f165ba7ec57b3",8,2
"41",40,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@c1a155f3812a4b629a5d1d2dc0780d67","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@72d2fd00b68d4a82b2b74965bb2363ea","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@7f295ff85fcb463eb08efaada1048dcf",2,1
"42",41,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@252811f3fd564e928474451d8d7a6e54","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@e0c4bfc762e44b32a9b37478cbbcb16e","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@34d8da124cc4403e8ee85886dc953747",7,1
"43",42,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@85fcdb5eb4d4464097bf0d36de0cd4fb","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@31ab58419f864903afb632201bf918b7","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@1d30b23f53c74d99955ff70a7bb56037",2,2
